
TIME	BBE	OBJ

0	1	409.067422156616
0	5	322.714672991286
0	11	265.453635576699
0	59	253.700379372787
0	86	253.508031417864
0	118	253.201633640789
0	135	252.358093402554
0	160	251.197472707471
1	182	251.197301214826
1	190	251.07713195817
1	207	250.997447369686
1	234	250.863129878857
1	239	250.348565958289
1	259	250.085055415213
1	263	249.552570436516
1	265	248.815865880956
1	301	247.44992060398
1	331	247.112498030273
1	334	246.811892550734
1	370	246.500086500941
1	387	246.419187625588
1	391	245.966804212317
1	401	245.796743257507
1	425	245.525068769592
1	475	245.218533633366
1	486	244.90846223392
1	493	244.849644072153
1	546	244.676306494478
2	565	244.582999118234
2	586	244.575839696815
2	594	244.378107909394
2	595	243.796461173388
2	598	241.642674855193
2	619	240.954865563714
2	620	239.095740614928
2	630	239.042233330649
2	663	238.392177294901
2	687	237.14673675086
2	698	236.447365897648
2	720	236.114659332555
2	739	235.691225738535
2	761	234.102484883206
2	764	229.340323724089
2	767	216.522605525348
2	771	196.963059945103
2	787	196.847112442146
2	788	196.509148264238
2	859	196.472844306831
2	860	195.917100202077
2	877	195.52911433773
2	894	195.32691063284
2	909	194.6659700126
3	954	193.250827222827
3	956	192.675360163547
3	960	191.754551114895
3	963	187.293158675319
3	965	173.11436821721
3	992	168.278990026847
3	996	168.241191748863
3	997	164.093855182351
3	1027	154.594844826658
3	1046	146.464758975961
3	1048	145.102201089468
3	1062	109.906215853184
3	1069	106.774234762506
3	1074	95.0780580563132
3	1108	69.93773412990249
3	1134	67.7573780014974
3	1157	61.2885209600909
3	1200	60.431575681709
3	1204	60.4294769846275
3	1206	58.3738847038617
3	1222	56.6121681907407
3	1237	55.9551830235949
3	1252	48.9988231468474
4	1292	45.6702759695433
4	1343	43.8079499580428
4	1352	42.9716585947603
4	1360	42.0929043227586
4	1376	39.949447504498
4	1399	39.4932283554129
4	1402	39.2287376352352
4	1427	38.9784559612383
4	1450	38.2078899027391
4	1462	36.2656269613614
4	1464	35.580177483812
4	1498	33.7818737227238
4	1535	33.4939643479363
4	1543	33.0918450456313
4	1606	33.0590338343981
4	1609	33.0200589300374
4	1638	33.0156952097848
4	1641	33.0026037040469
5	1655	32.9969719389035
5	1686	32.9957520259869
5	1750	32.9878641371004
5	1783	32.9850410001756
5	1838	32.9838371886284
5	1865	32.9837327800898
5	1870	32.9825522627429
5	1873	32.9806229180508
5	1875	32.9758135809074
5	1878	32.9685718485421
5	1889	32.9678022774788
5	1893	32.9662494690148
5	1894	32.965099452368
5	1896	32.9646828629751
5	1898	32.9561254938631
5	1953	32.9557769687585
5	1956	32.9547315431167
5	1957	32.953487367693
6	1985	32.9499524280818
6	2000	32.9469957498619
6	2001	32.9469957498619

evaluations           : 2001
multiple evaluations  : 0
cache hits            : 436
cache search points   : 220
best feasible solution: x=( 5.168634764722022 3.052322762740134 9.462490982212969 ) F(x)=[ 32.9469957498619 ] h=0 f=32.9469957498619
