Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Default anisotropic mesh is disabled with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	1	(	1 0 100.0000000000 )	160.6247422680
	2	(	1 0 1100.0000000000 )	154.5010309278
	3	(	1 0 4100.0000000000 )	136.1298969072
	4	(	1 0 10000.0000000000 )	100.0000000000
	5	(	2 0 5000.0000000000 1 5000.0000000000 )	58.5324359492
	8	(	2 0 5000.0000000000 2 5000.0000000000 )	55.9016994375
	12	(	3 0 3333.3333333333 2 3333.3333333333 1 3333.3333333333 )	47.1682905221
	25	(	2 0 4664.5898033750 2 5335.4101966250 )	54.6460175208 (ExtendedPoll#6)
	26	(	2 0 3658.3592135001 2 6341.6407864999 )	54.3665216385 (ExtendedPoll#6)
	40	(	2 0 4853.2580389766 2 5104.8156864453 )	55.7859562011 (ExtendedPoll#7)
	51	(	2 0 4952.8329410996 2 5040.1793464707 )	55.7796437455 (ExtendedPoll#8)
	52	(	2 0 4811.3317643985 2 5160.7173858828 )	55.4595714411 (ExtendedPoll#8)
	53	(	2 0 4245.3270575938 2 5642.8695435312 )	54.9467100128 (ExtendedPoll#8)
	59	(	2 0 4217.3762078751 2 5761.6606548359 )	54.0237235981 (ExtendedPoll#8)
	69	(	2 0 4105.5728090001 2 5894.4271909999 )	53.7841727607 (ExtendedPoll#9)
	88	(	2 0 4077.6219592813 2 5838.5254915624 )	54.5583352238 (ExtendedPoll#10)
	95	(	2 0 4079.3688873888 2 5901.4149034296 )	53.9607874220 (ExtendedPoll#10)
	99	(	2 0 4048.3609134820 2 5933.2963413900 )	53.9575135294 (ExtendedPoll#10)
	102	(	2 0 4114.7441815640 2 5872.1538576303 )	53.9056113440 (ExtendedPoll#10)
	108	(	2 0 4103.7166978859 2 5883.2905243151 )	53.9036253851 (ExtendedPoll#10)
	109	(	2 0 4070.6342468517 2 5916.7005243695 )	53.9019093307 (ExtendedPoll#10)
	115	(	2 0 4066.9220246234 2 5931.8769623028 )	53.7986288783 (ExtendedPoll#10)
	137	(	2 0 4552.7864045000 2 5447.2135955000 )	54.3435557967 (ExtendedPoll#12)
	151	(	2 0 4547.0542966476 2 5452.5362670773 )	54.3341271736 (ExtendedPoll#12)
	152	(	2 0 4529.8579730901 2 5468.5042818092 )	54.3067391679 (ExtendedPoll#12)
	153	(	2 0 4461.0726788604 2 5532.3763407368 )	54.2108013388 (ExtendedPoll#12)
	154	(	2 0 4185.9315019415 2 5787.8645764472 )	54.0536810905 (ExtendedPoll#12)
	158	(	2 0 4166.7152927598 2 5812.7583019780 )	53.9898429352 (ExtendedPoll#12)
	159	(	2 0 4109.0666652149 2 5887.4394785702 )	53.8164151300 (ExtendedPoll#12)
	164	(	2 0 4087.2300638722 2 5910.1495439667 )	53.8086966314 (ExtendedPoll#12)
	165	(	2 0 4021.7202598438 2 5978.2797401562 )	53.8029621572 (ExtendedPoll#12)
	186	(	2 0 4997.1817136392 2 5002.7091033541 )	55.8904416155 (ExtendedPoll#13)
	187	(	2 0 4988.7268545568 2 5010.8364134164 )	55.8568544583 (ExtendedPoll#13)
	188	(	2 0 4954.9074182272 2 5043.3456536654 )	55.7253209743 (ExtendedPoll#13)
	189	(	2 0 4819.6296729087 2 5173.3826146616 )	55.2455191020 (ExtendedPoll#13)
	190	(	2 0 4278.5186916348 2 5693.5304586464 )	54.1478187840 (ExtendedPoll#13)
	194	(	2 0 4250.5678419161 2 5749.4321580839 )	53.8463541922 (ExtendedPoll#13)
	219	(	2 0 4991.4018382213 2 5006.9604166780 )	55.8833196229 (ExtendedPoll#14)
	220	(	2 0 4965.6073528851 2 5027.8416667120 )	55.8295760866 (ExtendedPoll#14)
	221	(	2 0 4862.4294115405 2 5111.3666668481 )	55.6359728814 (ExtendedPoll#14)
	222	(	2 0 4449.7176461622 2 5445.4666673925 )	55.2305749540 (ExtendedPoll#14)
	226	(	2 0 4416.5260121211 2 5499.6214387226 )	54.9360602700 (ExtendedPoll#14)
	227	(	2 0 4316.9511099981 2 5662.0857527128 )	54.1235694449 (ExtendedPoll#14)
	229	(	2 0 4226.1108484122 2 5745.9383018691 )	54.0981732449 (ExtendedPoll#14)
	236	(	2 0 4295.9879727091 2 5690.0366024316 )	54.0285296848 (ExtendedPoll#14)
	247	(	2 0 4295.1963959104 2 5693.8580076666 )	53.9975464791 (ExtendedPoll#14)
	248	(	2 0 4292.8216655143 2 5705.3222233715 )	53.9048916226 (ExtendedPoll#14)
	265	(	2 0 4991.6202042347 2 5007.1787826914 )	55.8789766881 (ExtendedPoll#15)
	266	(	2 0 4966.4808169388 2 5028.7151307657 )	55.8122316385 (ExtendedPoll#15)
	267	(	2 0 4865.9232677554 2 5114.8605230630 )	55.5670382161 (ExtendedPoll#15)
	268	(	2 0 4463.6930710215 2 5459.4420922519 )	54.9622403869 (ExtendedPoll#15)
	272	(	2 0 4465.4399991290 2 5522.3315041191 )	54.2792880205 (ExtendedPoll#15)
	279	(	2 0 4465.8494354041 2 5530.1380890991 )	54.1936457881 (ExtendedPoll#15)
	282	(	2 0 4460.3083978134 2 5535.6518309382 )	54.1829242335 (ExtendedPoll#15)
	283	(	2 0 4443.6852850412 2 5552.1930564553 )	54.1517073596 (ExtendedPoll#15)
	284	(	2 0 4377.1928339525 2 5618.3579585239 )	54.0411998177 (ExtendedPoll#15)
	285	(	2 0 4111.2230295975 2 5883.0175667983 )	53.8374230147 (ExtendedPoll#15)
	295	(	2 0 4118.0196717655 2 5879.1961615633 )	53.8105466009 (ExtendedPoll#15)
	298	(	2 0 4124.3795819065 2 5874.6650667847 )	53.7943634220 (ExtendedPoll#15)
	307	(	2 0 4124.8617357702 2 5874.5877643630 )	53.7906784892 (ExtendedPoll#15)
	308	(	2 0 4125.6516065844 2 5874.0132740894 )	53.7887889498 (ExtendedPoll#15)
	310	(	2 0 4123.8654408339 2 5876.1201649220 )	53.7855913617 (ExtendedPoll#15)
	348	(	2 0 4926.6290194883 2 5050.6609151152 )	55.8573545355 (ExtendedPoll#17)
