  
mpirun -np 4 ../../psdmads.exe param.txt 20 3 > runExample.log
 
TIME	BBE	OBJ

0	1	-0.001746040966254643
0	2	-0.1020265638285207
0	6	-0.1441632798005752
0	19	-0.1479342881281465
0	25	-0.1841215568617915
0	28	-0.1849197713114521
0	38	-0.1916931712633913
0	40	-0.2227632234775169
0	87	-0.2412462955044069
1	95	-0.2527350956716981
1	114	-0.2704851250098481
1	128	-0.2717551757304079
1	153	-0.2878109208445224
1	157	-0.3235573809157189
1	168	-0.3308416194351365
2	209	-0.3537076003988114
2	216	-0.3785183934692382
2	226	-0.3932656382622645
2	235	-0.397226624873137
2	269	-0.4026098831965045
2	279	-0.402851775010626
2	302	-0.4131889647727121
3	315	-0.4304862626819641
3	318	-0.4558590836833153
3	336	-0.4848732170447992
4	497	-0.4924809666931201
4	525	-0.5119819323392423
5	553	-0.5173948676971726
5	618	-0.6229712809770065
5	626	-0.6535294804372643
6	711	-0.6729611996573323
6	717	-0.6878450704721685
6	722	-0.693572111946147
7	838	-0.7163568681615147
8	902	-0.7202155341278618
23	1000	-0.7202155341278618
evaluations: 1000
cache hits : 7323
best feasible solution: x=( 3.078125 3.109375 2.9765625 2.9296875 0.71875 0.453125 0.3359375 0.375 0.3828125 0.578125 ) F(x)=[ -0.007860294779722617 -60.0625 -0.7202155341278618 ] h=0 f=-0.7202155341278618
